Date,Fund,MoM Return
9/1/21,U.K. Short-Term Investment Grade Bond Index Fund,-0.16
9/1/21,USD Emerging Markets Government Bond UCITS ETF,-1.71
9/1/21,FTSE Developed Europe UCITS ETF,-3.06
9/1/21,ESG Emerging Markets All Cap Equity Index Fund,-2.16
9/1/21,LifeStrategy 40% Equity Fund,-1.85
9/1/21,EUR Corporate Bond UCITS ETF,-0.65
9/1/21,SustainableLife 80-90% Equity Fund,
9/1/21,ESG Global Corporate Bond Index Fund,
9/1/21,FTSE Global All Cap Index Fund,-2.01
9/1/21,Germany All Cap UCITS ETF,-3.8
9/1/21,ESG Global All Cap UCITS ETF,-4.38
9/1/21,Euro Investment Grade Bond Index Fund,-0.81
9/1/21,USD Treasury Bond UCITS ETF,-1.09
9/1/21,Global Credit Bond Fund,-0.89
9/1/21,U.S. Equity Index Fund,-2.59
9/1/21,FTSE 250 UCITS ETF,-4.27
9/1/21,FTSE All-World UCITS ETF,-4.06
9/1/21,Pacific ex-Japan Stock Index Fund,-1.54
9/1/21,U.K. Investment Grade Bond Index Fund,-1.55
9/1/21,S&P 500 UCITS ETF,-4.67
9/1/21,FTSE Developed Europe ex-U.K. Equity Index Fund,-3.6
9/1/21,LifeStrategy 80% Equity Fund,-1.79
9/1/21,Target Retirement 2040 Fund,-1.75
9/1/21,Target Retirement 2020 Fund,-1.33
9/1/21,Global Short-Term Corporate Bond Index Fund,-0.21
9/1/21,FTSE Developed World UCITS ETF,-4.13
9/1/21,U.K. Government Bond Index Fund,-4.06
9/1/21,U.S. Investment Grade Credit Index Fund,-1.02
9/1/21,Euro Government Bond Index Fund,-1.14
9/1/21,SustainableLife 60-70% Equity Fund,-0.59
9/1/21,FTSE Emerging Markets UCITS ETF,-3.42
9/1/21,USD Corporate Bond UCITS ETF,-1
9/1/21,Target Retirement 2065 Fund,-1.75
9/1/21,U.K. Gilt UCITS ETF,-4.06
9/1/21,ESG North America All Cap UCITS ETF,
9/1/21,ESG EUR Corporate Bond UCITS ETF,
9/1/21,FTSE Japan UCITS ETF,2.58
9/1/21,Global Equity Income Fund,-0.64
9/1/21,Global Corporate Bond Index Fund,-0.98
9/1/21,Japan Government Bond Index Fund,-0.46
9/1/21,Target Retirement 2025 Fund,-1.63
9/1/21,ESG Emerging Markets All Cap UCITS ETF,
9/1/21,Target Retirement 2045 Fund,-1.75
9/1/21,FTSE North America UCITS ETF,-4.65
9/1/21,FTSE 100 UCITS ETF,-0.17
9/1/21,U.K. Long Duration Gilt Index Fund,-6.42
9/1/21,FTSE Developed World ex-U.K. Equity Index Fund,-2.23
9/1/21,Emerging Markets Stock Index Fund,-2.43
9/1/21,Global Sustainable Equity Fund,
9/1/21,FTSE U.K. Equity Income Index Fund,-1.71
9/1/21,ESG Global Corporate Bond UCITS ETF,-0.96
9/1/21,Global Short-Term Bond Index Fund,-0.27
9/1/21,EUR Eurozone Government Bond UCITS ETF,-0.65
9/1/21,Japan Stock Index Fund,4.86
9/1/21,LifeStrategy 20% Equity Fund,-1.83
9/1/21,Global Bond Index Fund,-1.08
9/1/21,Target Retirement 2060 Fund,-1.71
9/1/21,LifeStrategy 60% Equity Fund,-1.82
9/1/21,Active U.K. Equity Fund,-3.97
9/1/21,Global Small-Cap Index Fund,-1.1
9/1/21,Target Retirement 2015 Fund,-1.12
9/1/21,ESG Developed World All Cap Equity Index Fund (UK),-2.44
9/1/21,Emerging Markets Bond Fund,-1.91
9/1/21,ESG Developed Europe All Cap UCITS ETF,
9/1/21,Target Retirement 2050 Fund,-1.75
9/1/21,FTSE Developed Europe ex UK UCITS ETF,-3.77
9/1/21,USD Corporate 1-3 Year Bond UCITS ETF,-0.05
9/1/21,Global Equity Fund,-1.92
9/1/21,Sterling Short-Term Money Market Fund,0
9/1/21,Global Aggregate Bond UCITS ETF,-1.07
9/1/21,ESG USD Corporate Bond UCITS ETF,
9/1/21,ESG Developed Asia Pacific All Cap UCITS ETF,
10/1/21,FTSE All-World High Dividend Yield UCITS ETF,2.96
10/1/21,FTSE U.K. All Share Index Unit Trust,1.82
10/1/21,FTSE Japan UCITS ETF,-3.46
10/1/21,Global Short-Term Bond Index Fund,-0.56
10/1/21,FTSE North America UCITS ETF,7.06
10/1/21,SustainableLife 40-50% Equity Fund,
10/1/21,Target Retirement 2065 Fund,2.41
10/1/21,FTSE Developed Asia Pacific ex Japan UCITS ETF,1.5
10/1/21,Global Equity Income Fund,1.83
10/1/21,Japan Government Bond Index Fund,-0.13
10/1/21,SustainableLife 60-70% Equity Fund,1.86
10/1/21,U.S. Government Bond Index Fund,-0.09
10/1/21,FTSE 100 UCITS ETF,2.2
10/1/21,Target Retirement 2060 Fund,2.37
10/1/21,LifeStrategy 80% Equity Fund,2.44
10/1/21,Global Equity Fund,3.09
10/1/21,FTSE Developed Europe ex-U.K. Equity Index Fund,3.02
10/1/21,ESG Emerging Markets All Cap Equity Index Fund,-0.18
10/1/21,S&P 500 UCITS ETF,6.99
10/1/21,ESG Global All Cap UCITS ETF,5.1
10/1/21,FTSE Developed World ex-U.K. Equity Index Fund,3.81
10/1/21,Emerging Markets Bond Fund,-0.37
10/1/21,FTSE 250 UCITS ETF,0.42
10/1/21,Active U.K. Equity Fund,1.05
10/1/21,USD Emerging Markets Government Bond UCITS ETF,-0.08
10/1/21,SRI European Stock Fund,2.82
10/1/21,Japan Stock Index Fund,-4.94
10/1/21,U.S. Equity Index Fund,4.95
10/1/21,Pacific ex-Japan Stock Index Fund,1.49
10/1/21,SustainableLife 80-90% Equity Fund,
10/1/21,FTSE Global All Cap Index Fund,3.15
10/1/21,ESG Developed Europe All Cap UCITS ETF,
10/1/21,Global Sustainable Equity Fund,
10/1/21,ESG Emerging Markets All Cap UCITS ETF,
10/1/21,ESG EUR Corporate Bond UCITS ETF,
10/1/21,Emerging Markets Stock Index Fund,-0.27
10/1/21,Sterling Short-Term Money Market Fund,-0.02
10/1/21,LifeStrategy 20% Equity Fund,1.07
10/1/21,LifeStrategy 100% Equity Fund,2.94
10/1/21,Global Corporate Bond Index Fund,-0.09
10/1/21,Target Retirement 2015 Fund,0.92
10/1/21,Global Aggregate Bond UCITS ETF,-0.32
10/1/21,ESG Developed World All Cap Equity Index Fund (UK),3.83
10/1/21,Target Retirement 2025 Fund,1.71
10/1/21,FTSE U.K. Equity Income Index Fund,3.11
10/1/21,EUR Eurozone Government Bond UCITS ETF,-0.75
10/1/21,LifeStrategy 40% Equity Fund,1.54
10/1/21,USD Treasury Bond UCITS ETF,-0.08
10/1/21,Euro Government Bond Index Fund,-0.57
10/1/21,EUR Corporate Bond UCITS ETF,-0.75
10/1/21,ESG Developed World All Cap Equity Index Fund,3.83
10/1/21,Global Emerging Markets Fund,-0.13
10/1/21,FTSE 100 Index Unit Trust,1.72
10/1/21,ESG Global Corporate Bond Index Fund,
10/1/21,ESG North America All Cap UCITS ETF,
10/1/21,USD Corporate 1-3 Year Bond UCITS ETF,-0.34
10/1/21,Germany All Cap UCITS ETF,2.46
10/1/21,Global Short-Term Corporate Bond Index Fund,-0.69
10/1/21,Global Credit Bond Fund,-0.21
10/1/21,FTSE All-World UCITS ETF,4.98
10/1/21,Target Retirement 2045 Fund,2.37
10/1/21,FTSE Developed World UCITS ETF,5.45
10/1/21,U.K. Long Duration Gilt Index Fund,5.45
10/1/21,Target Retirement 2035 Fund,2.1
10/1/21,Global Small-Cap Index Fund,1.91
10/1/21,ESG Developed Asia Pacific All Cap UCITS ETF,
10/1/21,Target Retirement 2020 Fund,1.32
10/1/21,Global Bond Index Fund,-0.32
10/1/21,FTSE Emerging Markets UCITS ETF,1.12
10/1/21,Target Retirement 2030 Fund,1.96
10/1/21,U.K. Gilt UCITS ETF,2.62
10/1/21,ESG Global Corporate Bond UCITS ETF,-0.22
10/1/21,Target Retirement 2050 Fund,2.37
10/1/21,USD Corporate Bond UCITS ETF,0.15
10/1/21,FTSE Developed Europe UCITS ETF,4.64
10/1/21,U.S. Investment Grade Credit Index Fund,0.09
10/1/21,Euro Investment Grade Bond Index Fund,-0.57
10/1/21,U.K. Investment Grade Bond Index Fund,-0.18
10/1/21,LifeStrategy 60% Equity Fund,1.98
10/1/21,Target Retirement 2040 Fund,2.23
10/1/21,U.K. Government Bond Index Fund,2.61
10/1/21,ESG USD Corporate Bond UCITS ETF,
10/1/21,U.K. Inflation-Linked Gilt Index Fund,4.58
10/1/21,FTSE Developed Europe ex UK UCITS ETF,4.9
10/1/21,U.K. Short-Term Investment Grade Bond Index Fund,-1.05
10/1/21,Target Retirement 2055 Fund,2.41
11/1/21,Global Bond Index Fund,0.74
11/1/21,U.K. Government Bond Index Fund,3.24
11/1/21,U.K. Gilt UCITS ETF,3.27
11/1/21,FTSE 100 UCITS ETF,-2.18
11/1/21,ESG Global Corporate Bond UCITS ETF,0.15
11/1/21,Active U.K. Equity Fund,-2.87
11/1/21,Target Retirement 2050 Fund,0.43
11/1/21,Japan Stock Index Fund,0.97
11/1/21,Target Retirement 2030 Fund,0.59
11/1/21,FTSE Emerging Markets UCITS ETF,-3.68
11/1/21,FTSE All-World High Dividend Yield UCITS ETF,-3.79
11/1/21,LifeStrategy 80% Equity Fund,0.53
11/1/21,Germany All Cap UCITS ETF,-4.03
11/1/21,Global Equity Fund,-1.37
11/1/21,SustainableLife 60-70% Equity Fund,-0.49
11/1/21,EUR Corporate Bond UCITS ETF,0.19
11/1/21,Euro Government Bond Index Fund,1.69
11/1/21,LifeStrategy 100% Equity Fund,0.29
11/1/21,ESG North America All Cap UCITS ETF,
11/1/21,Target Retirement 2065 Fund,0.41
11/1/21,SustainableLife 40-50% Equity Fund,
11/1/21,USD Corporate 1-3 Year Bond UCITS ETF,-0.24
11/1/21,USD Treasury Bond UCITS ETF,0.76
11/1/21,U.S. Government Bond Index Fund,0.76
11/1/21,LifeStrategy 60% Equity Fund,0.79
11/1/21,U.S. Equity Index Fund,2.06
11/1/21,Global Short-Term Corporate Bond Index Fund,-0.1
11/1/21,ESG USD Corporate Bond UCITS ETF,
11/1/21,Global Credit Bond Fund,0.19
11/1/21,Target Retirement 2045 Fund,0.43
11/1/21,U.K. Inflation-Linked Gilt Index Fund,6.09
11/1/21,FTSE Developed World UCITS ETF,-2.38
11/1/21,FTSE Developed Europe ex UK UCITS ETF,-2.45
11/1/21,U.K. Long Duration Gilt Index Fund,5.1
11/1/21,Euro Investment Grade Bond Index Fund,0.54
11/1/21,S&P 500 UCITS ETF,-0.72
11/1/21,Target Retirement 2035 Fund,0.54
11/1/21,FTSE Developed Asia Pacific ex Japan UCITS ETF,-5.69
11/1/21,Japan Government Bond Index Fund,0.26
11/1/21,Global Small-Cap Index Fund,-1.44
11/1/21,FTSE Developed Europe ex-U.K. Equity Index Fund,-1.67
11/1/21,Target Retirement 2020 Fund,0.69
11/1/21,ESG Developed Asia Pacific All Cap UCITS ETF,
11/1/21,ESG EUR Corporate Bond UCITS ETF,
11/1/21,FTSE North America UCITS ETF,-1.31
11/1/21,USD Emerging Markets Government Bond UCITS ETF,-1.22
11/1/21,FTSE U.K. Equity Income Index Fund,-1.78
11/1/21,USD Corporate Bond UCITS ETF,0.04
11/1/21,FTSE Developed World ex-U.K. Equity Index Fund,1.3
11/1/21,ESG Developed World All Cap Equity Index Fund (UK),1.38
11/1/21,LifeStrategy 20% Equity Fund,1.4
11/1/21,Global Equity Income Fund,0.01
11/1/21,ESG Developed Europe All Cap UCITS ETF,
11/1/21,Emerging Markets Stock Index Fund,-0.99
11/1/21,Target Retirement 2015 Fund,0.73
11/1/21,Emerging Markets Bond Fund,-2.03
11/1/21,ESG Emerging Markets All Cap Equity Index Fund,0.09
11/1/21,SustainableLife 80-90% Equity Fund,
11/1/21,Global Aggregate Bond UCITS ETF,0.73
11/1/21,ESG Emerging Markets All Cap UCITS ETF,
11/1/21,LifeStrategy 40% Equity Fund,1.1
11/1/21,FTSE U.K. All Share Index Unit Trust,-2.24
11/1/21,EUR Eurozone Government Bond UCITS ETF,0.19
11/1/21,ESG Global All Cap UCITS ETF,-2.32
11/1/21,U.K. Short-Term Investment Grade Bond Index Fund,0.67
11/1/21,Target Retirement 2025 Fund,0.64
11/1/21,U.K. Investment Grade Bond Index Fund,1.16
11/1/21,FTSE 250 UCITS ETF,-2.38
11/1/21,Target Retirement 2040 Fund,0.49
11/1/21,Global Corporate Bond Index Fund,-0.14
11/1/21,U.S. Investment Grade Credit Index Fund,0.06
11/1/21,ESG Developed World All Cap Equity Index Fund,1.35
11/1/21,Target Retirement 2055 Fund,0.41
11/1/21,FTSE Japan UCITS ETF,-3.03
11/1/21,Pacific ex-Japan Stock Index Fund,-2.94
11/1/21,Sterling Short-Term Money Market Fund,0.01
11/1/21,Global Sustainable Equity Fund,
11/1/21,Global Emerging Markets Fund,-2.31
11/1/21,FTSE Developed Europe UCITS ETF,-2.56
11/1/21,SRI European Stock Fund,-1.69
11/1/21,FTSE Global All Cap Index Fund,0.77
11/1/21,ESG Global Corporate Bond Index Fund,
11/1/21,FTSE 100 Index Unit Trust,-1.71
11/1/21,Target Retirement 2060 Fund,0.42
11/1/21,FTSE All-World UCITS ETF,-2.54
11/1/21,Global Short-Term Bond Index Fund,0.16
12/1/21,Pacific ex-Japan Stock Index Fund,0.92
12/1/21,Emerging Markets Bond Fund,1.36
12/1/21,EUR Eurozone Government Bond UCITS ETF,-0.12
12/1/21,Global Short-Term Corporate Bond Index Fund,-0.02
12/1/21,U.K. Investment Grade Bond Index Fund,-1.15
12/1/21,LifeStrategy 100% Equity Fund,2.26
12/1/21,FTSE All-World UCITS ETF,4.11
12/1/21,Target Retirement 2045 Fund,1.49
12/1/21,FTSE Developed Europe ex UK UCITS ETF,5.16
12/1/21,U.S. Investment Grade Credit Index Fund,-0.23
12/1/21,USD Corporate Bond UCITS ETF,-0.22
12/1/21,FTSE 250 UCITS ETF,4.41
12/1/21,ESG Developed Europe All Cap UCITS ETF,
12/1/21,ESG North America All Cap UCITS ETF,
12/1/21,Euro Government Bond Index Fund,-1.48
12/1/21,FTSE Japan UCITS ETF,1.99
12/1/21,SustainableLife 60-70% Equity Fund,2.7
12/1/21,Germany All Cap UCITS ETF,4.25
12/1/21,Japan Government Bond Index Fund,-0.19
12/1/21,Global Short-Term Bond Index Fund,-0.21
12/1/21,U.K. Gilt UCITS ETF,-2.96
12/1/21,ESG Developed Asia Pacific All Cap UCITS ETF,
12/1/21,Global Bond Index Fund,-0.59
12/1/21,Emerging Markets Stock Index Fund,-0.13
12/1/21,Target Retirement 2065 Fund,1.53
12/1/21,LifeStrategy 80% Equity Fund,1.45
12/1/21,Global Equity Income Fund,4.13
12/1/21,ESG USD Corporate Bond UCITS ETF,
12/1/21,U.K. Government Bond Index Fund,-2.97
12/1/21,Active U.K. Equity Fund,3.89
12/1/21,FTSE Emerging Markets UCITS ETF,1.63
12/1/21,ESG Emerging Markets All Cap UCITS ETF,
12/1/21,Target Retirement 2020 Fund,0.56
12/1/21,FTSE North America UCITS ETF,4.07
12/1/21,Target Retirement 2025 Fund,0.8
12/1/21,Global Corporate Bond Index Fund,-0.24
12/1/21,Target Retirement 2040 Fund,1.33
12/1/21,Target Retirement 2035 Fund,1.16
12/1/21,LifeStrategy 60% Equity Fund,0.65
12/1/21,FTSE U.K. All Share Index Unit Trust,4.17
12/1/21,USD Emerging Markets Government Bond UCITS ETF,1.2
12/1/21,U.K. Short-Term Investment Grade Bond Index Fund,-0.63
12/1/21,ESG Global Corporate Bond UCITS ETF,-0.13
12/1/21,ESG Developed World All Cap Equity Index Fund,1.49
12/1/21,ESG Global Corporate Bond Index Fund,
12/1/21,FTSE 100 UCITS ETF,4.74
12/1/21,Target Retirement 2050 Fund,1.49
12/1/21,Euro Investment Grade Bond Index Fund,-0.39
12/1/21,USD Treasury Bond UCITS ETF,-0.61
12/1/21,ESG EUR Corporate Bond UCITS ETF,
12/1/21,FTSE Global All Cap Index Fund,1.64
12/1/21,Sterling Short-Term Money Market Fund,0
12/1/21,SRI European Stock Fund,3.89
12/1/21,Target Retirement 2030 Fund,0.99
12/1/21,EUR Corporate Bond UCITS ETF,-0.12
12/1/21,Global Equity Fund,0.48
12/1/21,ESG Developed World All Cap Equity Index Fund (UK),1.5
12/1/21,FTSE U.K. Equity Income Index Fund,5.06
12/1/21,Global Emerging Markets Fund,-0.12
12/1/21,USD Corporate 1-3 Year Bond UCITS ETF,-0.01
12/1/21,FTSE Developed Europe UCITS ETF,5.42
12/1/21,Japan Stock Index Fund,-0.45
12/1/21,Global Small-Cap Index Fund,1.26
12/1/21,Target Retirement 2060 Fund,1.54
12/1/21,Target Retirement 2055 Fund,1.53
12/1/21,Target Retirement 2015 Fund,0.24
12/1/21,U.K. Inflation-Linked Gilt Index Fund,-5.7
12/1/21,U.S. Equity Index Fund,1.37
12/1/21,ESG Emerging Markets All Cap Equity Index Fund,-1.13
12/1/21,FTSE Developed Asia Pacific ex Japan UCITS ETF,4.62
12/1/21,Global Credit Bond Fund,-0.53
12/1/21,FTSE All-World High Dividend Yield UCITS ETF,6.49
12/1/21,LifeStrategy 40% Equity Fund,-0.09
12/1/21,SustainableLife 40-50% Equity Fund,
12/1/21,FTSE Developed World UCITS ETF,4.4
12/1/21,LifeStrategy 20% Equity Fund,-0.79
12/1/21,S&P 500 UCITS ETF,4.46
12/1/21,Global Sustainable Equity Fund,
12/1/21,ESG Global All Cap UCITS ETF,3.66
12/1/21,U.K. Long Duration Gilt Index Fund,-4.86
12/1/21,FTSE Developed Europe ex-U.K. Equity Index Fund,3.78
12/1/21,FTSE 100 Index Unit Trust,4.24
12/1/21,FTSE Developed World ex-U.K. Equity Index Fund,1.85
12/1/21,Global Aggregate Bond UCITS ETF,-0.58
12/1/21,U.S. Government Bond Index Fund,-0.68
12/1/21,SustainableLife 80-90% Equity Fund,
1/1/22,Global Aggregate Bond UCITS ETF,-1.79
1/1/22,ESG Developed Europe All Cap UCITS ETF,
1/1/22,ESG Global All Cap UCITS ETF,-6.34
1/1/22,Target Retirement 2025 Fund,-2.8
1/1/22,ESG Global Corporate Bond Index Fund,
1/1/22,ESG Developed World All Cap Equity Index Fund (UK),-6.05
1/1/22,ESG Emerging Markets All Cap UCITS ETF,
1/1/22,Emerging Markets Bond Fund,-2.22
1/1/22,USD Treasury Bond UCITS ETF,-1.8
1/1/22,LifeStrategy 40% Equity Fund,-2.73
1/1/22,U.S. Investment Grade Credit Index Fund,-2.86
1/1/22,Pacific ex-Japan Stock Index Fund,-4.74
1/1/22,U.K. Inflation-Linked Gilt Index Fund,-2.72
1/1/22,FTSE All-World High Dividend Yield UCITS ETF,0.22
1/1/22,FTSE Developed Asia Pacific ex Japan UCITS ETF,-6.94
1/1/22,FTSE Developed Europe ex UK UCITS ETF,-4.84
1/1/22,FTSE 100 Index Unit Trust,1.13
1/1/22,U.K. Government Bond Index Fund,-4.33
1/1/22,FTSE Developed Europe UCITS ETF,-3.33
1/1/22,SustainableLife 40-50% Equity Fund,-1.15
1/1/22,LifeStrategy 80% Equity Fund,-3.16
1/1/22,Target Retirement 2055 Fund,-3.13
1/1/22,SustainableLife 80-90% Equity Fund,-0.5
1/1/22,FTSE U.K. All Share Index Unit Trust,-0.34
1/1/22,FTSE 250 UCITS ETF,-6.51
1/1/22,EUR Corporate Bond UCITS ETF,-1.32
1/1/22,ESG Developed World All Cap Equity Index Fund,-6.05
1/1/22,U.K. Investment Grade Bond Index Fund,-2.97
1/1/22,Active U.K. Equity Fund,-6.1
1/1/22,ESG USD Corporate Bond UCITS ETF,
1/1/22,SRI European Stock Fund,-4.14
1/1/22,Target Retirement 2040 Fund,-3.05
1/1/22,EUR Eurozone Government Bond UCITS ETF,-1.32
1/1/22,Global Emerging Markets Fund,1.37
1/1/22,U.K. Short-Term Investment Grade Bond Index Fund,-1.11
1/1/22,FTSE Global All Cap Index Fund,-4.22
1/1/22,U.S. Government Bond Index Fund,-1.81
1/1/22,Target Retirement 2065 Fund,-3.12
1/1/22,Euro Investment Grade Bond Index Fund,-1.19
1/1/22,Target Retirement 2015 Fund,-1.9
1/1/22,FTSE 100 UCITS ETF,1.11
1/1/22,Global Small-Cap Index Fund,-6.67
1/1/22,Japan Stock Index Fund,-4.2
1/1/22,ESG Global Corporate Bond UCITS ETF,-2.54
1/1/22,FTSE Emerging Markets UCITS ETF,-0.38
1/1/22,USD Emerging Markets Government Bond UCITS ETF,-2.68
1/1/22,Target Retirement 2020 Fund,-2.36
1/1/22,ESG EUR Corporate Bond UCITS ETF,
1/1/22,FTSE North America UCITS ETF,-5.37
1/1/22,U.K. Long Duration Gilt Index Fund,-6.64
1/1/22,FTSE Developed Europe ex-U.K. Equity Index Fund,-5.32
1/1/22,LifeStrategy 100% Equity Fund,-3.34
1/1/22,FTSE Developed World ex-U.K. Equity Index Fund,-4.63
1/1/22,Global Short-Term Corporate Bond Index Fund,-0.97
1/1/22,S&P 500 UCITS ETF,-5.19
1/1/22,USD Corporate Bond UCITS ETF,-3.05
1/1/22,FTSE Developed World UCITS ETF,-5.28
1/1/22,LifeStrategy 60% Equity Fund,-2.97
1/1/22,Target Retirement 2045 Fund,-3.1
1/1/22,Global Credit Bond Fund,-2.02
1/1/22,Target Retirement 2035 Fund,-3.01
1/1/22,U.S. Equity Index Fund,-5.12
1/1/22,FTSE All-World UCITS ETF,-4.8
1/1/22,U.K. Gilt UCITS ETF,-4.33
1/1/22,Global Bond Index Fund,-1.79
1/1/22,Global Corporate Bond Index Fund,-2.31
1/1/22,Target Retirement 2030 Fund,-2.95
1/1/22,ESG Developed Asia Pacific All Cap UCITS ETF,
1/1/22,Global Equity Income Fund,1.36
1/1/22,ESG Emerging Markets All Cap Equity Index Fund,-0.26
1/1/22,Global Sustainable Equity Fund,-1.95
1/1/22,LifeStrategy 20% Equity Fund,-2.52
1/1/22,Emerging Markets Stock Index Fund,-0.91
1/1/22,ESG North America All Cap UCITS ETF,
1/1/22,FTSE Japan UCITS ETF,-4.78
1/1/22,Global Short-Term Bond Index Fund,-0.75
1/1/22,Japan Government Bond Index Fund,-0.91
1/1/22,Global Equity Fund,-4.98
1/1/22,Sterling Short-Term Money Market Fund,-0.02
1/1/22,FTSE U.K. Equity Income Index Fund,4.96
1/1/22,Target Retirement 2060 Fund,-3.14
1/1/22,Germany All Cap UCITS ETF,-2.74
1/1/22,Target Retirement 2050 Fund,-3.1
1/1/22,Euro Government Bond Index Fund,-1.02
1/1/22,SustainableLife 60-70% Equity Fund,-0.93
1/1/22,USD Corporate 1-3 Year Bond UCITS ETF,-0.78
2/1/22,ESG Developed Asia Pacific All Cap UCITS ETF,
2/1/22,Global Bond Index Fund,-1.46
2/1/22,Target Retirement 2035 Fund,-1.88
2/1/22,U.S. Government Bond Index Fund,-0.64
2/1/22,Active U.K. Equity Fund,-2.45
2/1/22,SustainableLife 40-50% Equity Fund,-1.91
2/1/22,Target Retirement 2030 Fund,-1.86
2/1/22,EUR Eurozone Government Bond UCITS ETF,-2.49
2/1/22,LifeStrategy 100% Equity Fund,-2.09
2/1/22,USD Emerging Markets Government Bond UCITS ETF,-4.44
2/1/22,Global Short-Term Bond Index Fund,-0.57
2/1/22,Global Aggregate Bond UCITS ETF,-1.44
2/1/22,EUR Corporate Bond UCITS ETF,-2.49
2/1/22,ESG Emerging Markets All Cap Equity Index Fund,-2.88
2/1/22,ESG USD Corporate Bond UCITS ETF,
2/1/22,FTSE Global All Cap Index Fund,-2.36
2/1/22,S&P 500 UCITS ETF,-3.02
2/1/22,Target Retirement 2060 Fund,-1.93
2/1/22,Sterling Short-Term Money Market Fund,0.02
2/1/22,FTSE U.K. Equity Income Index Fund,0.61
2/1/22,Target Retirement 2050 Fund,-1.91
2/1/22,USD Corporate 1-3 Year Bond UCITS ETF,-0.78
2/1/22,Global Equity Fund,-2.71
2/1/22,Euro Investment Grade Bond Index Fund,-2.58
2/1/22,FTSE 100 UCITS ETF,0.25
2/1/22,Japan Stock Index Fund,-1.13
2/1/22,ESG Global Corporate Bond UCITS ETF,-1.96
2/1/22,ESG EUR Corporate Bond UCITS ETF,
2/1/22,U.K. Long Duration Gilt Index Fund,-2.9
2/1/22,FTSE Developed Europe ex-U.K. Equity Index Fund,-3.95
2/1/22,FTSE Developed World ex-U.K. Equity Index Fund,-2.65
2/1/22,LifeStrategy 60% Equity Fund,-1.78
2/1/22,LifeStrategy 20% Equity Fund,-1.59
2/1/22,Global Sustainable Equity Fund,-3.76
2/1/22,Target Retirement 2015 Fund,-1.13
2/1/22,LifeStrategy 40% Equity Fund,-1.7
2/1/22,FTSE All-World High Dividend Yield UCITS ETF,-1.65
2/1/22,FTSE Developed Asia Pacific ex Japan UCITS ETF,2.3
2/1/22,FTSE 100 Index Unit Trust,0.74
2/1/22,FTSE Developed Europe UCITS ETF,-3.13
2/1/22,U.K. Inflation-Linked Gilt Index Fund,-0.31
2/1/22,Target Retirement 2055 Fund,-1.93
2/1/22,FTSE U.K. All Share Index Unit Trust,-0.04
2/1/22,Global Credit Bond Fund,-2.32
2/1/22,U.K. Short-Term Investment Grade Bond Index Fund,-0.61
2/1/22,SRI European Stock Fund,-2.99
2/1/22,ESG Developed World All Cap Equity Index Fund (UK),-2.98
2/1/22,Global Emerging Markets Fund,-4.6
2/1/22,SustainableLife 80-90% Equity Fund,-2.15
2/1/22,ESG Developed Europe All Cap UCITS ETF,
2/1/22,ESG Global Corporate Bond Index Fund,
2/1/22,ESG Global All Cap UCITS ETF,-2.96
2/1/22,ESG Developed World All Cap Equity Index Fund,-2.98
2/1/22,FTSE Developed World UCITS ETF,-2.5
2/1/22,Target Retirement 2020 Fund,-1.44
2/1/22,Germany All Cap UCITS ETF,-6.52
2/1/22,FTSE Developed Europe ex UK UCITS ETF,-4.14
2/1/22,Emerging Markets Bond Fund,-6.06
2/1/22,Pacific ex-Japan Stock Index Fund,2.76
2/1/22,Target Retirement 2040 Fund,-1.9
2/1/22,FTSE Japan UCITS ETF,-0.85
2/1/22,Global Equity Income Fund,-1.02
2/1/22,Global Corporate Bond Index Fund,-2.39
2/1/22,Emerging Markets Stock Index Fund,-3.69
2/1/22,U.S. Investment Grade Credit Index Fund,-2.09
2/1/22,U.S. Equity Index Fund,-2.55
2/1/22,ESG North America All Cap UCITS ETF,
2/1/22,Japan Government Bond Index Fund,-0.74
2/1/22,Euro Government Bond Index Fund,-1.91
2/1/22,U.K. Investment Grade Bond Index Fund,-2.16
2/1/22,ESG Emerging Markets All Cap UCITS ETF,
2/1/22,Target Retirement 2025 Fund,-1.74
2/1/22,U.K. Gilt UCITS ETF,-1.68
2/1/22,Target Retirement 2065 Fund,-1.92
2/1/22,USD Treasury Bond UCITS ETF,-0.66
2/1/22,FTSE Emerging Markets UCITS ETF,-3.71
2/1/22,FTSE 250 UCITS ETF,-3.74
2/1/22,FTSE North America UCITS ETF,-2.9
2/1/22,Global Small-Cap Index Fund,0.22
2/1/22,LifeStrategy 80% Equity Fund,-1.92
2/1/22,U.K. Government Bond Index Fund,-1.71
2/1/22,Global Short-Term Corporate Bond Index Fund,-1
2/1/22,Target Retirement 2045 Fund,-1.91
2/1/22,USD Corporate Bond UCITS ETF,-2.04
2/1/22,FTSE All-World UCITS ETF,-2.64
2/1/22,SustainableLife 60-70% Equity Fund,-1.87
3/1/22,FTSE All-World High Dividend Yield UCITS ETF,1.71
3/1/22,FTSE Developed World ex-U.K. Equity Index Fund,4.75
3/1/22,LifeStrategy 20% Equity Fund,-1.09
3/1/22,Emerging Markets Bond Fund,-0.15
3/1/22,FTSE Japan UCITS ETF,-0.87
3/1/22,Emerging Markets Stock Index Fund,0.21
3/1/22,LifeStrategy 100% Equity Fund,3.5
3/1/22,FTSE Global All Cap Index Fund,4.04
3/1/22,Japan Stock Index Fund,1.4
